"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"GRB7",1.28815443334398e-69,1.85493559862977,0.254,0.072,4.97304900536778e-65,"Epi"
"CACNA2D3",0,1.85373248251494,0.496,0.056,0,"Epi"
"GPRC5B",5.2657893279296e-140,1.85150415310012,0.441,0.115,2.0329106279405e-135,"Epi"
"PPARGC1B",5.13900244049357e-117,1.85030951366195,0.264,0.052,1.98396328217695e-112,"Epi"
"RIMS2",2.7619352757931e-244,1.8494105847082,0.915,0.391,1.06627273257269e-239,"Epi"
"TRIM71",3.72067721185766e-242,1.84663447617943,0.945,0.449,1.43640464440977e-237,"Epi"
"FSD1",2.70936102164902e-126,1.83941772594602,0.365,0.087,1.04597591601782e-121,"Epi"
"PIF1",2.11874108638887e-122,1.83249503017962,0.376,0.096,8.17961183811288e-118,"Epi"
"FOXH1",2.16240005463727e-227,1.82788538683922,0.831,0.299,8.34816165093265e-223,"Epi"
"EMB",4.12918765547915e-152,1.82540650416657,0.435,0.106,1.59411418627428e-147,"Epi"
"PCAT14",1.24046623903828e-127,1.82503725358266,0.536,0.177,4.7889439624312e-123,"Epi"
"SLC25A21",9.7992985261887e-112,1.81785379491032,0.401,0.114,3.78311718902041e-107,"Epi"
"BBC3",1.17550305440705e-123,1.81551242246816,0.563,0.192,4.53814709184384e-119,"Epi"
"HAGHL",5.77386503397599e-81,1.81222308558475,0.258,0.066,2.22905833501677e-76,"Epi"
"ANK2",1.14834334057875e-189,1.81148201327238,0.908,0.494,4.43329430063831e-185,"Epi"
"ANO5",3.51968446524419e-92,1.81057911830701,0.252,0.058,1.35880938465217e-87,"Epi"
"LRIG1",6.54542544568488e-128,1.79914692774069,0.462,0.133,2.5269269475611e-123,"Epi"
"JARID2",2.00945391045589e-201,1.79912930779373,0.956,0.759,7.75769776670601e-197,"Epi"
"RALGPS1",7.14439128465417e-159,1.79326865336481,0.496,0.129,2.75816369935359e-154,"Epi"
"UNG",2.20496246813626e-172,1.78887383317283,0.728,0.27,8.51247810448686e-168,"Epi"
"ADAM23",1.12176053475939e-145,1.7845989595762,0.515,0.147,4.33066872049209e-141,"Epi"
"UGP2",1.05457583736017e-186,1.78261730857845,0.94,0.707,4.07129547771269e-182,"Epi"
"EPS8L2",7.95910216398753e-118,1.7688507615934,0.367,0.094,3.07269098142903e-113,"Epi"
"STC2",1.68775043374447e-75,1.76628402406411,0.285,0.082,6.51572932451391e-71,"Epi"
"MTHFD1",8.98444052329239e-138,1.7644338939028,0.504,0.148,3.46853310842226e-133,"Epi"
"ZNF367",1.65860817113069e-108,1.76310207498999,0.348,0.09,6.40322270546713e-104,"Epi"
"ENSG00000291234",5.29568572879007e-91,1.76245819681601,0.339,0.098,2.0444524324567e-86,"Epi"
"CHEK2",2.02631545474566e-148,1.75515147747096,0.665,0.248,7.82279344459111e-144,"Epi"
"CDC6",1.56723357344054e-120,1.75346834333092,0.434,0.125,6.05046193362455e-116,"Epi"
"IFI30",3.82297302278458e-94,1.75331220926324,0.295,0.075,1.47589696517622e-89,"Epi"
"CD55",2.60147430754876e-140,1.75225414356822,0.563,0.178,1.00432517117227e-135,"Epi"
"VSIG10",1.04583132818815e-166,1.75214567732364,0.61,0.184,4.03753642560316e-162,"Epi"
"PAWR",2.32061027937362e-240,1.75214118904946,0.929,0.446,8.9589480445498e-236,"Epi"
"TAFA5",3.6075275075828e-112,1.75190241435721,0.353,0.09,1.39272206957741e-107,"Epi"
"ARRB2",1.63295682822123e-128,1.75140942327349,0.445,0.123,6.30419313103087e-124,"Epi"
"ENSG00000281016",1.10275900389489e-109,1.74844765423375,0.346,0.088,4.2573114104366e-105,"Epi"
"CLDN10",3.19299957691593e-143,1.74767108075998,0.312,0.061,1.23268941666416e-138,"Epi"
"MCM5",2.42331927612301e-149,1.74342452353202,0.584,0.185,9.35546639740049e-145,"Epi"
"ACOT7",1.03894679113569e-143,1.73697752730013,0.562,0.177,4.01095798185844e-139,"Epi"
